label,X1528CSW2.1.1,X1528CSW2.1.2,X1528CSW2.1.3,X1528CSW2.1.4,X1528CSW2.2.1,X1528CSW2.2.2,X1528CSW2.2.3,X1528CSW2.2.4,X1528CSW2.3.3,X2710SW2.1.1
3855a556f323047a1adcce9abc1973ff,0,0,0,0,0,0,0,0,0,0
de481404713f197ed26a727654b64fa4,0,0,0,0,0,0,0,0,0,0
8d7d0a1f5cb1063e68fa22ae297c357a,0,0,0,0,0,0,0,0,0,0
24b4c9a12e6b38aa95978e908383e450,0,0,0,0,0,0,0,0,0,0
0745aa38714b07214cc3bf28014a095e,0,0,0,0,0,0,0,0,0,0
12b4202004c0af68274d6a41d63e42f1,0,0,0,0,0,0,0,0,0,0
b6919796ed69f705edea0b45bc863e33,0,0,0,0,0,0,0,0,0,0
c237fe3ce1e8681614ebe90ef66f9a02,0,0,0,0,0,0,0.269687163,0,0,0
6107367019a947d11a94c94170f51369,0,0,0,0,0,0,0,0,0,0
5e383ac2a60220e87283edc0cde54db5,0,0,0,0,0,0,0,0,0,0
866b208171e38783bcdcea5ff898c2d6,0,0,0,0,0,0,0,0,0,0
50f30f27404487f52edaaaf261a5f0b1,0,0,0,0,0,0,0,0,0,0
7aca421f3da3b8fc5ee74265d2069d74,0,0,0,0,0,0,0,0,0,0
f51cfbf5afdd52bac13c1b97caefc3ff,0,0,0,0,0,0,0,0,0,0
a7160e080299dd6de309de5502cd6f7b,0,0,0,0,0,0,0,0,0,0
dbc612918a701d3a3ceec4d3c4445ba1,0,0,0,0,0,0,0,0,0,0
81bc5bb898bd64a826548123c3e074df,0,0,0,0,0,0,0,0,0,0
9acaf57ca13989e2c7a91a65c52e5847,0,0,0,0,0,0,0,0,0,0
baa4761c08107a008e18f86acfd9a44e,0,0,0,0,0,0,0,0,0,0
be44c7664f4dd52e2568b16f4c2bcc5c,0,0,0,0,0,0,0,0,0,0
98029439821da1a7e69ccaf1ba19f1b1,0,0,0,0,0,0,0,0,0,0
cfb6d0492733583bdee63b7cd96c7ae8,0,0,0,0,0,0,0,0,0,0
a38203f8b9713a1aaf5d93684faed69e,0,0,0,0,0,0,0,0,0,0
7f4c441d08ecfb095cd21605517e7d1b,0,0,0,0,0,0,0,0,0,0
4d70b86cf509d0bccf39ed0aefe63de9,0,0,0,0,0,0,0,0,0,0
7e49703b81a3d69d26a1dfe588b19217,0,0,0,0,0,0,0,0,0,0
def7082044e18c149d8bc61a40eb3c73,0,0,0,0,0,0,0,0,0,0
92cb377d388fd0dcc43ffa2fc7f3813d,0,0,0,0,0,0,0,0,0,0
46d104439a388c2f2e30c86a30eea3d0,0,0,0,0,0,0,0,0,0,0
8512d8a0129b8c878705762861ab711f,0,0,0,0,0,0,0,0,0,0
0db10c4e1c448167de5bf42f111b4b54,0,0,0,0,0,0,0,0,0,0
aa412b56bd25c699344057753c1ea535,0,0,0,0,0,0,0,0,0,0
a75f45dbdfc96f311914739b5f951112,0,0,0,0,0,0,0,0,0,0
f9531d74b667a5d0bf3e4d3097efcad3,0,0,0,0,0,0,0,0,0,0
7862d8c4690a2ecb05798a87458d6d3a,0,0,0,0,0,0,0,0,0,0
93ff8c274c4c4ae79b95b14ef172940d,0,0,0,0,0,0,0,0,0,0
e952cd9ec54aaf9f000e3f4d027afb8f,0,0,0,0,0,0,0,0,0,0
c7e49cdfa0d6cb9269dd241486b12c98,0,0,0,0,0,0,0,0,0,0
dc58a07103a59a8b5a3de631cd19aa8f,0,0,0,0,0,0,0,0,0,0
ee02dd5229df935fbcada7edbcd9bc77,0,0,0,0,0,0,0,0,0,0
53139598ca50a5ef6722821d6d36f980,0,0,0,0,0,0,0,0,0,0
caccbafbed2385717595c9407baa330a,0,0,0,0,0,0,0,0,0,0
8e997565910344d5a5794df3e78f2eba,0,0,0,0,0,0,0,0,0,0
ee3a01a95bb63e10fb118595c53666ee,0,0,0,0,0,0,0,0,0,0
031a1a2e0c0db03e8cf7c4073c5f034a,0,0,0,0,0,0,0,0,0,0
a0b0b311f9e04d0904e380e52c2a48d6,0,0,0,0,0,0,0,0,0,0
5d585cadb55fd6b54527a2a98a16e4d1,0,0,0,0,0,0,0,0,0,0
3d2c2e0d1efee3fd443797f60782afe8,0,0,0,0,0,0,0,0,0,0
284b68b33e779bd1dc2b53faa06c012f,0,0,0,0,0,0,0,0,0,0
bf6fcd95a00321c7aa0a4a87124c2b83,0,0,0,0,0,0,0,0,0,0
56498587514a1c0b905f518c50174e78,0,0,0,0,0,0,0,0,0,0
61bbb027c87b9c15bdb7f22e5e29aa9e,0,0,0,0,0,0,0,0,0,0
902d4269b621acc95a25355f4d7da4e0,0,0,0,0,0,0,0,0,0,0
352341aa6fa91fa2f0ad6795b68d4e4a,0,0,0,0,0,0,0,0,0,0
b2561cfe38d5a5a6b4db8fe76f44f762,0,0,0,0,0,0,0,0,0,0
1e464bf6324bdaa5bba1e43d96c3ca53,0,0,0,0,0,0,0,0,0,0
8c2c685eb2eefaf38e7787952c24fb65,0,0,0,0,0,0,0,0,0,0
72163dbad4b344b66dc40d845eac1ee3,0,0,0,0,0,0,0,0,0,0
2c9af20d2143b07f81481fbe534c8172,0,0,0,0,0,0,0,0,0,0
c8934617597911f82f74e440da2e6a83,0,0,0,0,0,0,0,0,0,0
dfc7a00ef0d98f00eebfa757cee35d09,0,0,0,0,0,0,0,0,0,0
b2d074647b463ecec621c0988604ced8,0,0,0,0,0,0,0,0,0,0
e43f2c5b76c78faef8808e40309deb22,0,0,0,0,0,0,0,0,0,0
4cc0a72a02ddd045f9b1fe67f480663b,0,0,0,0,0,0,0,0,0,0
52dde4c441d5932d5c3b572d65d06299,0,0,0,0,0,0,0,0,0,0
e0ae6c348e8b9e469cc50b609d6c9b8a,0,0,0,0,0,0,0,0,0,0
18969f913f7d7e12bafc079275c3c28d,0,0,0,0,0,0,0,0,0,0
ee67506172a8a7f88c2e98319a7d5ca6,0,0,0,0,0,0,0,0,0,0
fb05723740f27e9c19cc53966320ca0a,0,0,0,0,0,0,0,0,0,0
09e6d9969cce3e13fc8d03fa0aee4058,0,0,0,0,0,0,0,0,0,0
2db2aec0e6cbd8a44374868f10891a47,0,0,0,0,0,0,0,0,0,0
7c2a35d38b98c03e715c8c2588a8b715,0,0,0,0,0,0,0,0,0,0
afed8d991c2607081ca7545d7b85baca,0,0,0,0,0,0,0,0,0,0
0c8515e2b5d1df538ca3c32864bfab69,0,0,0,0,0,0,0,0,0,0
acf3b37044d2eb56190ccb94f1a9bc15,0,0,0,0,0,0,0,0,0,0
8d2504a4e6bba2334f9026d61adaf0db,0.496205487,0.203885824,0,0,0,0,0,0,0,0
1d43080b626ebc7700958d7472ec24e7,0,0,0,0,0,0,0,0,0,0
f2b28cfcc58ed1198c7c96640dd651f7,0,0,2.168240557,0.121580547,0,0,0,0,0,0
72c0817e5a4d71b5d937a45f46e26173,0,0,0,0,0,0,0,0,0,0
695c9a70d02015b689ba802c1e27e706,0,0,0,0,0,0,0,0,0,0
c5bf1d6be576847622a770d991870e59,0,0,0,0,0,0,0,0,0,0
0cb3896b8741842356cbe0562fa45839,0,0,0,0,0,0,0,0,0,0
f9abdbbd7e7458f16640eed405ad6a4e,0,0,0,0,0,0,0,0,0,0
3da04c2b3c57c380c2e2605e7596cf9a,0,0,0,0,0,0,0,0,0,0
da1edf8814c198d19592543e46d9f67a,0,0,0,0,0,0,0,0,0,0
